,date,likes,reposts,views,comments,name,price,product_category,catalog_category,time,time_category
47,18.03.2024,19,16,9202,0,Белый кружевной комплект белья с поясом ,1690,комплекты,комплекты,04:04:00,ночное
48,18.03.2024,24,13,6763,1,Хлопковые платья-рубашки с поясом ,2790,платья,платья,01:23:00,ночное
49,17.03.2024,16,14,6879,3,Контрастные комплекты белья с поясом ,1690,комплекты,комплекты,15:53:20,дневное
50,17.03.2024,117,85,20899,0,Небесно-голубые платья макси с принтом ,2550,платья,платья,13:55:06,дневное
51,16.03.2024,98,93,32698,1,Трикотажные платья со шнуровкой на спинке ,1890,платья,платья,13:26:20,дневное
52,16.03.2024,28,15,13828,0,Платья-миди в винтажном стиле с принтом ,3250,платья,платья,10:46:21,утреннее
53,16.03.2024,122,123,26802,0,Лаконичный купальник молочного цвета ,1790,купальники,купальники,05:09:18,ночное
54,15.03.2024,411,510,102893,9,Комплекты из смесового льна ,2690,комплекты,комплекты,19:57:17,вечернее
55,14.03.2024,81,73,18998,3,Хлопковые платья с открытой спинкой ,2690,платья,платья,20:13:27,вечернее
56,14.03.2024,60,43,14741,2,Шорты объемного кроя с высокой посадкой ,1790,шорты,брюки/комбинезоны/джинсы,05:38:42,ночное
57,13.03.2024,49,59,10712,3,Боди с длинными рукавами и открытыми плечами ,1750,боди,блузки/рубашки/свитера,19:51:34,вечернее
58,13.03.2024,121,150,36537,0,Хлопковый комплект в стиле бохо ,2690,комплекты,комплекты,12:55:35,дневное
59,12.03.2024,41,39,18511,1,Платья из хлопка с обьемными рукавами ,2690,платья,платья,15:14:15,дневное
60,12.03.2024,52,34,13039,0,Малиновый комплект белья с поясом ,1690,комплекты,комплекты,11:55:22,утреннее
61,11.03.2024,156,87,29136,0,Приталенные платья с цветочным принтом ,2990,платья,платья,20:18:38,вечернее
62,11.03.2024,64,46,16923,4,Нежные платья в сердечко с воротником ,2690,платья,платья,15:45:48,дневное
63,11.03.2024,48,48,18679,2,Теплые фактурные бомберы ,2950,бомберы,верхняя одежда,11:05:48,утреннее
64,11.03.2024,34,35,10902,3,Платья в винтажном стиле с принтом ,2390,платья,платья,08:03:22,утреннее
65,10.03.2024,81,79,18399,1,Хлопковые муслиновые комплекты в стиле бохо ,2690,комплекты,комплекты,09:24:48,утреннее
66,10.03.2024,70,44,14098,0,Платья с лазурным принтом ,3390,платья,платья,07:12:12,утреннее
67,09.03.2024,53,69,20761,0,Трикотажные платья с открытой спинкой ,2550,платья,платья,15:29:55,дневное
68,09.03.2024,41,50,15991,0,Комплекты белья с поясом для чулок ,1790,комплекты,комплекты,12:42:21,дневное
69,09.03.2024,61,51,23347,1,Ярусные приталенные платья ,2790,платья,платья,08:33:29,утреннее
70,08.03.2024,848,890,187452,22,Стильные хлопковые комплекты с жилетом ,3350,комплекты,комплекты,14:17:42,дневное
71,06.03.2024,137,98,23006,0,Атласные комплекты с шортами ,2350,комплекты,комплекты,17:32:15,дневное
72,06.03.2024,77,86,28010,0,Трикотажные платья с открытой спинкой ,2350,платья,платья,07:02:16,утреннее
73,06.03.2024,86,66,15731,1,"Изумрудные брючные костюмы из 
 атласа ",2950,костюмы,комплекты,05:06:59,ночное
74,05.03.2024,30,21,18856,0,Лиловый комплект с поясом ,1690,комплекты,комплекты,19:57:11,вечернее
75,04.03.2024,69,47,13838,0,Комплекты белья с цветочно вышивкой ,1690,комплекты,комплекты,20:10:06,вечернее
76,01.03.2024,173,142,64562,1,Маленькое чёрное платье с цветочным принтом ,2590,платья,платья,18:40:19,вечернее
77,28.02.2024,996,366,145933,9,Воздушное шифоновое платье с принтом ,2790,платья,платья,15:27:53,дневное
78,28.02.2024,48,85,21457,0,Шикарный комплект белья с юбкой и перчатками ,1690,платья,платья,13:09:27,дневное
79,28.02.2024,131,143,33232,2,Пыльно-розовый комплект из денима с юбкой ,2790,платья,платья,10:49:24,утреннее
80,27.02.2024,46,53,13331,2,Хлопковые комплекты с шортами ,2550,комплекты,комплекты,09:52:11,утреннее
81,27.02.2024,88,97,22801,2,Брючные комплекты из хлопкового муслина ,2690,комплекты,комплекты,07:11:25,утреннее
82,26.02.2024,39,23,11116,0,Комплект с боди и перчатками винного цвета ,1790,комплекты,комплекты,05:55:54,ночное
83,25.02.2024,114,114,20745,3,Хлопковые платья в винтажном стиле ,2390,платья,платья,14:22:49,дневное
84,24.02.2024,439,425,97678,3,Пеньюар с креплением для чулок ,1790,пеньюары,комплекты,16:13:20,дневное
85,23.02.2024,32,19,11514,0,Нежно-розовые комплекты с поясом ,1690,комплекты,комплекты,12:13:00,дневное
86,23.02.2024,136,114,28718,2,Платья приталенного кроя в винтажном стиле ,2590,платья,платья,08:09:10,утреннее
87,23.02.2024,49,53,15118,4,Хлопковые комплекты с жилетом ,3250,комплекты,комплекты,07:30:29,утреннее
88,22.02.2024,82,98,18541,5,Атласное черное платье с открытой спинкой ,2550,платья,платья,16:42:39,дневное
89,22.02.2024,95,68,28233,0,Идеальное маленькое белое платье на весну-лето ,2690,платья,платья,12:24:31,дневное
90,22.02.2024,19,24,10738,0,Комплект белья в сердечки с поясом ,1790,комплекты,комплекты,06:37:06,утреннее
91,21.02.2024,79,90,21544,4,Муслиновые комплекты с поясом ,2690,комплекты,комплекты,17:22:23,дневное
92,21.02.2024,70,62,28874,2,Боди с завязкой на шее ,1950,боди,блузки/рубашки/свитера,10:08:45,утреннее
93,19.02.2024,55,50,20921,0,Яркий комплект белья с поясом ,1690,комплекты,комплекты,11:24:51,утреннее
94,19.02.2024,48,52,10921,2,Платье с открытыми плечами и цветочным принтом ,2390,платья,платья,07:48:19,утреннее
95,17.02.2024,49,49,24432,0,Бархатные платья с воротничком ,2790,платья,платья,09:32:36,утреннее
96,16.02.2024,48,63,22411,0,Комплекты белья с поясом ,1690,комплекты,комплекты,16:41:57,дневное
97,16.02.2024,149,117,26462,1,Трикотажные платья с открытой спинкой ,2690,платья,платья,10:30:54,утреннее
98,15.02.2024,89,69,22637,1,Приталенные жемчужно-белые платья с воротничком ,2690,платья,платья,20:16:37,вечернее
99,13.02.2024,1087,941,181711,10,Атласные платья со шнуровкой на спинке ,2390,платья,платья,13:23:08,дневное
100,13.02.2024,38,37,16689,0,Комплект белья нежно-розового цвета с поясом  ,1690,комплекты,комплекты,06:40:16,утреннее
101,13.02.2024,108,94,23564,5,Жемчужно-розовый комплект из атласа ,3390,комплекты,комплекты,04:12:00,ночное
102,13.02.2024,100,139,16280,0,Комплект из хлопка в стиле кантри ,2690,комплекты,комплекты,00:19:00,ночное
103,12.02.2024,25,25,14408,0,Идеальный белый комплект белья с поясом ,1690,комплекты,комплекты,20:26:05,вечернее
104,12.02.2024,70,87,16463,2,Хлопковые костюмы с жилетом ,2550,костюмы,комплекты,18:10:43,вечернее
105,12.02.2024,26,27,15987,0,Тройной черный комплект белья с поясом ,1690,комплекты,комплекты,12:09:30,дневное
106,12.02.2024,81,82,15608,1,Хлопковые комплекты с шортами ,2550,комплекты,комплекты,08:43:38,утреннее
107,11.02.2024,50,58,14033,2,Комплект с боди винного цвета ,1690,комплекты,комплекты,08:58:41,утреннее
108,10.02.2024,269,289,51684,13,Брючные комплекты с жилетом ,3390,комплекты,комплекты,13:36:43,дневное
109,08.02.2024,134,147,19768,1,Платье из воздушного молочного шифона  ,2890,платья,платья,21:55:00,вечернее
110,08.02.2024,52,64,28029,0,Комплекты с сердечками из мягкой сеточки ,1690,комплекты,комплекты,18:42:19,вечернее
111,08.02.2024,42,30,16225,0,Шифоновые платья-макси с принтом ,2790,платья,платья,09:16:56,утреннее
112,08.02.2024,15,25,11539,0,Комплект белья с юбкой и перчатками ,1690,платья,платья,06:47:08,утреннее
113,07.02.2024,20,33,13223,1,Комплекты белья в сердечки с поясом ,1790,комплекты,комплекты,15:52:25,дневное
114,07.02.2024,420,352,94981,13,Платья с лазурным принтом ,3390,платья,платья,13:36:26,дневное
115,06.02.2024,129,146,31394,4,Трикотажные платья с открытой спинкой ,2390,платья,платья,20:02:03,вечернее
116,06.02.2024,132,157,37825,12,Комплекты из хлопка с шортами ,2390,комплекты,комплекты,07:34:44,утреннее
117,04.02.2024,69,72,16572,0,Хлопковые комплекты в стиле кантри ,2690,комплекты,комплекты,07:36:00,утреннее
118,03.02.2024,12,8,10727,0,Черный комплект белья с поясом  ,1690,комплекты,комплекты,18:04:38,вечернее
119,03.02.2024,40,40,17625,0,Кремовые платья в винтажном стиле с обьемными рукавами ,2790,платья,платья,14:07:56,дневное
120,03.02.2024,53,55,15316,0,Нежно-розовые комплекты из хлопкового муслина ,2550,комплекты,комплекты,07:41:06,утреннее
121,03.02.2024,44,48,11229,0,Платья с цветочным принтом и открытыми плечами ,2390,платья,платья,04:45:00,ночное
122,02.02.2024,77,74,16248,1,Атласные тройной комплекты с топом и шортами ,2550,комплекты,комплекты,20:44:32,вечернее
123,01.02.2024,31,37,11138,2,Платья-миди со шнуровкой на спине ,2390,платья,платья,18:03:52,вечернее
124,01.02.2024,79,63,14787,0,Нежное платье с цветочным принтом и разрезом ,2550,платья,платья,10:22:00,утреннее
125,31.01.2024,15,18,9601,0,Комплект белья с поясом и перчатками ,1690,комплекты,комплекты,20:26:20,вечернее
126,31.01.2024,83,91,17164,0,Приталенные платья в винтажном стиле ,2550,платья,платья,19:17:07,вечернее
127,31.01.2024,44,66,15525,0,Платье из розового шифона с воротничком ,2590,платья,платья,18:18:03,вечернее
128,31.01.2024,34,34,8483,1,Комплект белья с поясом цвета шампанского ,1690,комплекты,комплекты,15:35:23,дневное
129,31.01.2024,76,85,18712,0,Платья-миди из хлопкового мягкого муслина ,2390,платья,платья,12:54:09,дневное
130,31.01.2024,29,12,11034,0,Нежный комплект белья с поясом и с подвязками на ноги ,1690,комплекты,комплекты,10:59:03,утреннее
131,31.01.2024,57,46,12852,1,Платья в винтажном стиле из шифона с контрастным принтом ,2790,платья,платья,08:15:42,утреннее
132,30.01.2024,220,160,30212,3,Атласные платья со шнуровкой на спинке ,2390,платья,платья,18:25:24,вечернее
133,30.01.2024,48,37,13342,3,Хлопковая рубашка с вышивкой ришелье и  пуговицами-жемчужинками ,1890,рубашки,блузки/рубашки/свитера,15:38:26,дневное
134,30.01.2024,18,24,14322,0,Комплекты с поясом из мягкой сеточки ,1690,комплекты,комплекты,13:39:18,дневное
135,30.01.2024,83,77,16161,0,Небесно-голубое платье с принтом ,2550,платья,платья,10:18:43,утреннее
136,30.01.2024,91,79,14678,0,Комплекты для дома и лета из хлопка с вышивкой ,1950,комплекты,комплекты,07:07:39,утреннее
137,29.01.2024,31,29,13463,0,Контрастные комплекты белья с поясом ,1690,комплекты,комплекты,13:47:08,дневное
138,29.01.2024,69,56,13588,0,Приталенный платья с цветочным принтом ,2790,платья,платья,07:15:59,утреннее
139,29.01.2024,13,17,6797,0,Малиновке комплекты белья с поясом ,1690,комплекты,комплекты,04:07:00,ночное
140,28.01.2024,24,22,13370,0,Стильные бомберы на весну ,2890,бомберы,верхняя одежда,19:46:37,вечернее
141,28.01.2024,75,49,14809,3,Изумрудные брючные костюмы из атласа ,2950,костюмы,комплекты,13:59:23,дневное
142,28.01.2024,22,21,7556,0,Трикотажные платья-миди с фигурным декольте ,2690,платья,платья,11:36:50,утреннее
143,28.01.2024,40,53,12830,0,Хлопковые платья с открытой спинкой ,2690,платья,платья,08:10:30,утреннее
144,27.01.2024,101,79,21244,1,Комплекты из плотного кружева ,1690,комплекты,комплекты,17:38:15,дневное
145,27.01.2024,54,41,14607,4,Маленькое чёрное платье с открытой спинкой ,2590,платья,платья,13:03:32,дневное
146,26.01.2024,91,89,13713,0,Cарафаны лимонного цвета с принтом ,2290,сарафаны,платья,11:20:12,утреннее
147,26.01.2024,50,44,9662,0,Приталенное платье с лазурным принтом ,2890,платья,платья,09:23:58,утреннее
148,26.01.2024,93,124,19552,0,"Яркие комплекты с принтом, перчатками и чулками ",1790,комплекты,комплекты,06:19:07,утреннее
149,26.01.2024,24,30,9830,0,Рубашки в сердечко с воротничком ,2290,рубашки,блузки/рубашки/свитера,04:12:00,ночное
150,26.01.2024,22,38,11280,0,Плиссированные кремовые блузы на завязке ,1950,блузы,блузки/рубашки/свитера,01:48:00,ночное
151,25.01.2024,35,22,8984,0,Небесно-голубые муслиновые платья в стиле бохо ,2790,платья,платья,23:28:00,ночное
152,25.01.2024,16,19,10489,0,Идеальные черные комплекты белья с поясом ,1690,комплекты,комплекты,20:42:00,вечернее
153,25.01.2024,24,28,8772,0,Атласные пижамные комплекты из 7 предметов ,2550,комплекты,комплекты,19:21:44,вечернее
154,25.01.2024,47,48,12396,1,Кремово-бежевые комплекты для дома ,1990,комплекты,комплекты,17:56:13,дневное
155,25.01.2024,36,17,10661,0,Шифоновые платья-макси с контрастным принтом ,2790,платья,платья,14:53:40,дневное
156,25.01.2024,58,77,9632,0,Шикарные платья с бантом сзади и открытой спинкой ,2790,платья,платья,08:04:35,утреннее
157,24.01.2024,28,29,12054,0,Комплекты белья с цветочной вышивкой ,1690,комплекты,комплекты,19:56:33,вечернее
158,24.01.2024,57,49,17072,0,Приталенное белое платье с V-образным вырезом ,2550,платья,платья,16:26:20,дневное
159,24.01.2024,29,39,6783,2,Платье-макси с приниом в сердечки  ,2690,платья,платья,11:10:19,утреннее
160,24.01.2024,30,34,12423,1,Брючные костюмы с ярким принтом ,2790,костюмы,комплекты,08:56:47,утреннее
161,24.01.2024,55,51,13921,0,Трикотажные комбинезоны на пуговицах ,2550,комбинезоны,брюки/комбинезоны/джинсы,05:35:00,ночное
162,24.01.2024,12,18,10372,0,Двухцветный свитер рваного кроя ,2690,свитеры,блузки/рубашки/свитера,03:04:00,ночное
163,24.01.2024,53,79,16098,0,Ярусные платья в винтажном стиле ,2790,платья,платья,00:53:00,ночное
164,23.01.2024,24,23,10986,0,Маленький чёрный комплект с поясом ,1690,комплекты,комплекты,21:54:00,вечернее
165,23.01.2024,24,24,10249,0,Хлопковые брючные комплекты с жилетом ,2950,комплекты,комплекты,19:59:49,вечернее
166,23.01.2024,53,58,11190,0,Атласные комплекты с шортами ,2390,комплекты,комплекты,13:21:00,дневное
167,23.01.2024,612,530,111603,7,Черные платья с открытой спинкой и цветочным принтом ,2590,платья,платья,09:38:48,утреннее
168,23.01.2024,43,58,12961,0,Трикотажные платья со шнуровкой на спинке ,1990,платья,платья,05:45:14,ночное
169,22.01.2024,37,49,12673,0,Cарафаны с завязками на плечах ,2390,сарафаны,платья,06:19:24,утреннее
170,21.01.2024,29,41,13518,0,Атласные приталенные платья с воротничком ,2690,платья,платья,18:18:17,вечернее
171,21.01.2024,142,154,28014,0,Атласные платья с завязкой на спинке ,2550,платья,платья,13:48:26,дневное
172,21.01.2024,73,98,21202,0,Комплект брючный из смеси льна и хлопка ,2690,комплекты,комплекты,09:56:09,утреннее
173,21.01.2024,38,36,10990,0,Шорты с высокой посадкой расклешенного кроя ,1690,шорты,брюки/комбинезоны/джинсы,07:27:09,утреннее
174,20.01.2024,69,50,18993,0,Малиновый комплект белья с поясом в сердечки ,1690,комплекты,комплекты,15:14:11,дневное
175,20.01.2024,10,20,8000,0,Идеальные леггинсы со сборкой сзади ,1790,леггинсы,брюки/комбинезоны/джинсы,10:51:03,утреннее
176,20.01.2024,24,29,9942,0,Мулсиновые комплекты в стиле бохо ,2550,комплекты,комплекты,06:52:13,утреннее
177,19.01.2024,36,41,10941,0,Трикотажные платья со шнуровкой на спинке ,1990,платья,платья,20:20:10,вечернее
178,19.01.2024,25,30,9636,0,Хлопковые комплекты для дома и пляжа ,2390,комплекты,комплекты,16:00:54,дневное
179,19.01.2024,12,14,7355,0,Дизайнерские джинсовые комплкекты с юбкой и топом ,2690,платья,платья,09:12:27,утреннее
180,19.01.2024,12,13,6951,1,Кроп-топы с завязкой и длинными рукавами,1390,топы,блузки/рубашки/свитера,07:55:12,утреннее
181,18.01.2024,43,24,9957,0,Приталенные платья с цветочным принтом ,2790,платья,платья,16:02:44,дневное
182,18.01.2024,15,16,6412,0,"Комплект белья с перчатками, юбкой и поясом ",1690,платья,платья,13:05:25,дневное
183,18.01.2024,42,35,8767,0,Трикотажные костюмы с юбкой-макси на пуговицах ,3350,платья,платья,10:29:43,утреннее
184,18.01.2024,49,57,10380,1,Приталенные платья в винтажном стиле ,2390,платья,платья,06:31:36,утреннее
185,18.01.2024,10,18,5362,0,Комплект боди+перчатки+пояс в винном цвете ,1690,комплекты,комплекты,02:49:16,ночное
186,17.01.2024,39,32,11489,2,Трикотажный молочный комплект с шортами ,2790,комплекты,комплекты,18:51:32,вечернее
187,17.01.2024,21,20,9334,0,Кружевные комплекты белья с поясом ,1690,комплекты,комплекты,15:51:25,дневное
188,17.01.2024,35,39,10347,0,Трикотажные платья-макси с открытыми плечами ,2250,платья,платья,09:57:24,утреннее
189,17.01.2024,22,18,7020,0,Платья-миди со шнуровкой на спинке ,2350,платья,платья,06:29:51,утреннее
190,16.01.2024,23,25,11778,0,Нежно-розовые комплекты белья с поясом ,1690,комплекты,комплекты,20:38:09,вечернее
191,16.01.2024,20,14,8117,0,Платья-макси в сердечки из хлопкового муслина ,2390,платья,платья,18:53:55,вечернее
192,16.01.2024,12,12,5671,0,Комплекты белья из мягкой сеточки с перчатками и завязками на ноги ,1690,комплекты,комплекты,09:52:34,утреннее
193,16.01.2024,25,23,8145,1,Идеальные хлопковые комплекты в нежных оттенках ,2550,комплекты,комплекты,07:08:22,утреннее
194,15.01.2024,23,14,9090,0,Трикотажные платья со шнуровкой на спинке ,1950,платья,платья,18:22:44,вечернее
195,15.01.2024,27,25,9543,0,Хлопковые рубашки с вышивкой ришелье ,1790,рубашки,блузки/рубашки/свитера,16:36:36,дневное
196,15.01.2024,14,11,7804,0,"Костюм, в объятиях которого хочется провести все дни ",3550,костюмы,комплекты,09:00:51,утреннее
197,15.01.2024,43,46,15166,1,Мягкий пушистый комплект для дома или летних прогулок ,2550,комплекты,комплекты,06:57:11,утреннее
198,15.01.2024,33,32,7940,0,Хлопковые платья-миди с рукавами-фонариками ,2550,платья,платья,05:40:00,ночное
199,15.01.2024,46,48,15627,1,Купальники для самых красивых фото с пляжа ,1690,купальники,купальники,03:42:00,ночное
200,14.01.2024,66,50,14324,1,Атласные тройные комплекты для дома ,2550,комплекты,комплекты,21:40:00,вечернее
201,14.01.2024,39,50,12357,5,Джинсовый комплект с ассиметричной юбкой ,2790,платья,платья,19:47:53,вечернее
202,14.01.2024,19,15,5913,0,Лиловый кружевной комплект с поясом ,1690,комплекты,комплекты,17:27:22,дневное
203,14.01.2024,26,49,14521,0,Шикарные комплекты для дома и пляжа ,2250,комплекты,комплекты,13:29:53,дневное
204,14.01.2024,54,48,10845,0,Хлопковые комплекты с вышивкой ришелье ,1950,комплекты,комплекты,11:12:00,утреннее
205,14.01.2024,36,27,9606,5,Сарафаны с завязками на плечах солнечного цвета ,2390,сарафаны,платья,08:42:24,утреннее
206,14.01.2024,63,39,22661,2,Атласный комплект для дома в цвете крем-брюле  ,1550,комплекты,комплекты,06:53:34,утреннее
207,13.01.2024,50,57,13839,2,Трикотажные платья-миди в винтажном стиле ,2790,платья,платья,14:21:46,дневное
208,13.01.2024,26,33,10743,1,Идеальный комплект белья с поясом ,1690,комплекты,комплекты,11:45:21,утреннее
209,13.01.2024,30,27,8414,2,Нежное платье-макси пудрового-розового цвета ,2250,платья,платья,08:31:03,утреннее
210,13.01.2024,13,12,7889,0,Атласные юбочки-миди с принтом ,1790,платья,платья,05:27:00,ночное
211,13.01.2024,56,38,13450,1,Изумрудный брючный комплект из атласа ,2950,комплекты,комплекты,02:12:00,ночное
212,12.01.2024,16,6,4526,1,Комплект белья с поясом и стрепами на ноги  (перчатки не входят) ,1790,комплекты,комплекты,23:48:00,ночное
213,12.01.2024,45,45,14543,0,Трикотажный топ с открытыми плечами ,1550,топы,блузки/рубашки/свитера,20:55:45,вечернее
214,12.01.2024,33,22,9335,0,Нежный комплект белья с поясом и вышивкой ,1690,комплекты,комплекты,11:50:29,утреннее
215,12.01.2024,23,20,8882,1,Маленькое черное платье с открытыми плечами и спинкой ,2390,платья,платья,08:20:57,утреннее
216,12.01.2024,13,23,9035,0,Идеальный чёрный комплект белья с поясом ,1690,комплекты,комплекты,02:50:00,ночное
217,11.01.2024,20,21,9247,1,Малиновый комплект белья с поясом ,1690,комплекты,комплекты,17:02:00,дневное
218,11.01.2024,15,9,8117,0,Шоколадный костюм с бермудами из эко-кожи ,3590,костюмы,комплекты,14:56:49,дневное
219,11.01.2024,45,42,12558,0,Молочный комплект из хлопкового муслина в сердечки ,2790,комплекты,комплекты,13:03:35,дневное
220,11.01.2024,9,14,5130,0,Комплект белья с перчатками и юбкой ,1690,платья,платья,11:10:38,утреннее
221,11.01.2024,34,25,12837,0,Плиссированные платья-макси с вырезом на спинке ,2390,платья,платья,04:04:00,ночное
222,10.01.2024,40,32,10232,0,Брючные комплекты с жилетом ,3390,комплекты,комплекты,21:00:21,вечернее
223,10.01.2024,29,17,10856,0,Персиковый комплект с поясом и вышивкой ,1690,комплекты,комплекты,07:03:22,утреннее
224,09.01.2024,32,18,18351,0,Дизайнерская зефирная юбка с бантом и шлейфом ,2250,платья,платья,17:09:50,дневное
225,09.01.2024,362,263,57470,5,Жемчужный пеньюар по фигуре ,1790,пеньюары,комплекты,09:32:44,утреннее
226,09.01.2024,31,25,9177,0,Хлопковый костюм с жилетом и шортами ,2550,шорты,брюки/комбинезоны/джинсы,07:13:38,утреннее
227,08.01.2024,44,26,15215,0,Небесный плиссированный костюм с поясом ,3550,костюмы,комплекты,16:54:52,дневное
228,08.01.2024,45,33,13199,0,Нежно-розовый комплект с поясом ,1690,комплекты,комплекты,08:58:59,утреннее
229,30.12.2023,48,28,16524,0,Рубашки в стиле кантри ,2250,рубашки,блузки/рубашки/свитера,16:33:10,дневное
230,28.12.2023,56,38,17870,0,Муслиновые комплекты в сердечки ,2590,комплекты,комплекты,18:39:20,вечернее
231,28.12.2023,148,133,56400,0,Комплекты из мягкой сеточки ,1550,комплекты,комплекты,08:52:23,утреннее
232,27.12.2023,35,19,17974,0,Алое хлопковое платье в стиле кантри ,2550,платья,платья,19:16:57,вечернее
